strain 	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	originating_lab	submitting_lab	authors	url	title	date_submitted
India28/2020	ncov	?	MT451881	2020-04-26	Asia	India	Ahmedabad		Asia	India	Gujarat	genome	29801	Homo sapiens	?	?	?	?	Patel D. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT451881	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC17a/2020, complete genome	2020-05-11
India29/2020	ncov	?	MT675944	2020-06-11	Asia	India	Ahmedabad		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Saiyed Z. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT675944	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC228a/2020, complete genome	2020-06-29
India30/2020	ncov	?	MT675945	2020-06-11	Asia	India	Ahmedabad		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Patel K. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT675945	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC228b/2020, complete genome	2020-06-29
India31/2020	ncov	?	MT675951	2020-06-11	Asia	India	Surat		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Trivedi N. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT675951	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC230/2020, complete genome	2020-06-29
India32/2020	ncov	?	MT676288	2020-06-12	Asia	India	Surat		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Raval J. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT676288	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC233a/2020, complete genome	2020-06-29
India33/2020	ncov	?	MT676366	2020-06-12	Asia	India	Bardoli		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Kumar R. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT676366	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC237b/2020, complete genome	2020-06-29
India34/2020	ncov	?	MT676367	2020-06-12	Asia	India	Choryasi		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Saiyed Z. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT676367	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC238b/2020, complete genome	2020-06-29
India35/2020	ncov	?	MT676368	2020-06-08	Asia	India	Kapadvanj		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Prabhu S. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT676368	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC200/2020, complete genome	2020-06-29
India36/2020	ncov	?	MT676369	2020-06-12	Asia	India	Choryasi		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Kumar D. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT676369	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC238a/2020, complete genome	2020-06-29
India37/2020	ncov	?	MT676388	2020-06-12	Asia	India	Bardoli		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Savaliya N. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT676388	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC237a/2020, complete genome	2020-06-29
India38/2020	ncov	?	MT676389	2020-06-05	Asia	India	Vadohara		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Patel Z. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT676389	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC187a/2020, complete genome	2020-06-29
India39/2020	ncov	?	MT676397	2020-06-02	Asia	India	Vadohara		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Pandya M. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT676397	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC189/2020, complete genome	2020-06-29
India40/2020	ncov	?	MT664117	2020-06-07	Asia	India	Palanpur		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Sabara P. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT664117	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC204a/2020, complete genome	2020-06-25
India41/2020	ncov	?	MT664118	2020-06-07	Asia	India	Palanpur		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Puvar A. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT664118	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC204b/2020, complete genome	2020-06-25
India42/2020	ncov	?	MT665970	2020-06-08	Asia	India	Kheda		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Kumar D. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT665970	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC219a/2020, complete genome	2020-06-25
India43/2020	ncov	?	MT665972	2020-06-08	Asia	India	Kheda		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Saiyed Z. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT665972	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC219b/2020, complete genome	2020-06-25
India44/2020	ncov	?	MT665974	2020-06-05	Asia	India	Mandvi		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Babhoria B. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT665974	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC220/2020, complete genome	2020-06-25
India45/2020	ncov	?	MT666042	2020-06-05	Asia	India	Bhuj		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Assudani H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT666042	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC221/2020, complete genome	2020-06-25
India46/2020	ncov	?	MT635269	2020-06-03	Asia	India	Ahmedabad		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Puvar A. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT635269	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC186a/2020, complete genome	2020-06-18
India47/2020	ncov	?	MT635270	2020-05-27	Asia	India	Ahmedabad		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Shah T. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT635270	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC184/2020, complete genome	2020-06-18
India48/2020	ncov	?	MT635339	2020-06-05	Asia	India	Vadohara		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Kumar D. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT635339	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC192/2020, complete genome	2020-06-18
India49/2020	ncov	?	MT635392	2020-06-03	Asia	India	Vadohara		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Patel K. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT635392	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC193b/2020, complete genome	2020-06-18
India50/2020	ncov	?	MT635404	2020-06-08	Asia	India	Vadohara		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Doshi N. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT635404	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC197/2020, complete genome	2020-06-18
India51/2020	ncov	?	MT635855	2020-06-08	Asia	India	Mahemdavad		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Shah T. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT635855	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC201a/2020, complete genome	2020-06-18
India52/2020	ncov	?	MT635856	2020-06-05	Asia	India	Dhanera		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Khara R. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT635856	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC202/2020, complete genome	2020-06-18
India53/2020	ncov	?	MT635857	2020-06-08	Asia	India	Mahemdavad		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Hinsu A. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT635857	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC201b/2020, complete genome	2020-06-18
India54/2020	ncov	?	MT635858	2020-06-08	Asia	India	Nadiad		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Gusani J. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT635858	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC199/2020, complete genome	2020-06-18
India55/2020	ncov	?	MT607244	2020-06-05	Asia	India	Gandhinagar		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Shrimali G. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT607244	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC169b/2020, complete genome	2020-06-15
India56/2020	ncov	?	MT607249	2020-06-05	Asia	India	Kadi		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Modi B. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT607249	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC170a/2020, complete genome	2020-06-15
India57/2020	ncov	?	MT607250	2020-06-05	Asia	India	Kadi		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Rajani B. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT607250	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC170b/2020, complete genome	2020-06-15
India58/2020	ncov	?	MT607251	2020-06-05	Asia	India	Gandhinagar		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Bhatt S. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT607251	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC169a/2020, complete genome	2020-06-15
India59/2020	ncov	?	MT607601	2020-06-05	Asia	India	Gandhinagar		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Raval J. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT607601	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC174a/2020, complete genome	2020-06-15
India60/2020	ncov	?	MT607602	2020-06-05	Asia	India	Kalol		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Hinsu A. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT607602	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC172/2020, complete genome	2020-06-15
India61/2020	ncov	?	MT607613	2020-06-05	Asia	India	Kalol		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Sabara P. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT607613	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC173a/2020, complete genome	2020-06-15
India62/2020	ncov	?	MT576034	2020-04-27	Asia	India	Rajkot		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Rajwar A. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT576034	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC153b/2020, complete genome	2020-06-08
India63/2020	ncov	?	MT576035	2020-05-02	Asia	India	Vadohara		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Patel F. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT576035	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC151a/2020, complete genome	2020-06-08
India64/2020	ncov	?	MT576529	2020-05-18	Asia	India	Himatnagar		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Pandya M. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT576529	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC150a/2020, complete genome	2020-06-08
India65/2020	ncov	?	MT560673	2020-05-06	Asia	India	Prantij		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Hinsu A. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT560673	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC145/2020, complete genome	2020-06-04
India66/2020	ncov	?	MT560675	2020-05-16	Asia	India	Himatnagar		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Sabara P. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT560675	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC146a/2020, complete genome	2020-06-04
India67/2020	ncov	?	MT560677	2020-05-16	Asia	India	Khedbrahma		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Raval J. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT560677	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC147/2020, complete genome	2020-06-04
India68/2020	ncov	?	MT560689	2020-05-05	Asia	India	Bayad		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Pandit R. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT560689	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC143/2020, complete genome	2020-06-04
India69/2020	ncov	?	MT560694	2020-05-17	Asia	India	Khedbrahma		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Patel Z. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT560694	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC148a/2020, complete genome	2020-06-04
India70/2020	ncov	?	MT509658	2020-05-03	Asia	India	Dahod		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Saiyed Z. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT509658	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC116/2020, complete genome	2020-05-24
India71/2020	ncov	?	MT509496	2020-05-09	Asia	India	Botad		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Patel Z. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT509496	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC96/2020, complete genome	2020-05-23
India72/2020	ncov	?	MT509497	2020-05-23	Asia	India	Una		Asia	India	Himachal Pradesh	genome	29800	Homo sapiens	?	?	?	?	Pattani M. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT509497	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC98/2020, complete genome	2020-05-23
India73/2020	ncov	?	MT509498	2020-05-09	Asia	India	Jamnagar		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Trivedi N. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT509498	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC107/2020, complete genome	2020-05-23
India74/2020	ncov	?	MT509503	2020-05-09	Asia	India	Junagadh		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Desai K. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT509503	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC94/2020, complete genome	2020-05-23
India75/2020	ncov	?	MT481897	2020-05-05	Asia	India	Modasa		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Shrimali G. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT481897	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC76/2020, complete genome	2020-05-20
India76/2020	ncov	?	MT481901	2020-04-28	Asia	India	Dahegam		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Pandya M. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT481901	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC87/2020, complete genome	2020-05-20
India77/2020	ncov	?	MT481908	2020-04-28	Asia	India	Mansa		Asia	India	Punjab	genome	29800	Homo sapiens	?	?	?	?	Kinariwala D. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT481908	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC93/2020, complete genome	2020-05-20
India78/2020	ncov	?	MT483559	2020-05-05	Asia	India	Prantij		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Raval J. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT483559	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC84/2020, complete genome	2020-05-19
India79/2020	ncov	?	MT467263	2020-05-04	Asia	India	Dhansura		Asia	India	Gujarat	genome	29800	Homo sapiens	?	?	?	?	Bagatharia S. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT467263	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC55/2020, complete genome	2020-05-14
India80/2020	ncov	?	MT664774	2020-06-05	Asia	India	Bharuch		Asia	India	Gujarat	genome	29799	Homo sapiens	?	?	?	?	Patel Z. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT664774	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC215/2020, complete genome	2020-06-25
Japan1/2020	ncov	?	LC556315	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29890	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC556315	Severe acute respiratory syndrome coronavirus 2 TKYE65734_2020 genomic RNA, nearly complete genome	2020-06-30
Japan2/2020	ncov	?	LC556316	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29903	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC556316	Severe acute respiratory syndrome coronavirus 2 TKYE610419_2020 genomic RNA, complete genome	2020-06-30
Japan3/2020	ncov	?	LC556317	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29899	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC556317	Severe acute respiratory syndrome coronavirus 2 TKYE610497_2020 genomic RNA, nearly complete genome	2020-06-30
Japan4/2020	ncov	?	LC556318	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29891	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC556318	Severe acute respiratory syndrome coronavirus 2 TKYE610504_2020 genomic RNA, nearly complete genome	2020-06-30
Japan5/2020	ncov	?	LC556319	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29893	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC556319	Severe acute respiratory syndrome coronavirus 2 TKYE610510_2020 genomic RNA, nearly complete genome	2020-06-30
Japan6/2020	ncov	?	LC556320	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29903	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC556320	Severe acute respiratory syndrome coronavirus 2 TKYE610670_2020 genomic RNA, complete genome	2020-06-30
Japan7/2020	ncov	?	LC556321	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29896	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC556321	Severe acute respiratory syndrome coronavirus 2 TKYE610850_2020 genomic RNA, nearly complete genome	2020-06-30
Japan8/2020	ncov	?	LC556322	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29890	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC556322	Severe acute respiratory syndrome coronavirus 2 TKYVE11964_2020 genomic RNA, nearly complete genome	2020-06-30
Japan9/2020	ncov	?	LC556323	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29888	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC556323	Severe acute respiratory syndrome coronavirus 2 TKYVE12492_2020 genomic RNA, nearly complete genome	2020-06-30
Japan10/2020	ncov	?	LC556324	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29891	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC556324	Severe acute respiratory syndrome coronavirus 2 TKYE613173_2020 genomic RNA, nearly complete genome	2020-06-30
Japan11/2020	ncov	?	LC553269	2020-02-XX	Asia	Japan			Asia	Japan	Japan	genome	29889	Homo sapiens	?	?	?	?	Kumagai R. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC553269	Severe acute respiratory syndrome coronavirus 2 TKYE6938_2020 RNA, complete genome	2020-06-16
Japan12/2020	ncov	?	LC553270	2020-03-XX	Asia	Japan			Asia	Japan	Japan	genome	29889	Homo sapiens	?	?	?	?	Kumagai R. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC553270	Severe acute respiratory syndrome coronavirus 2 TKYE63442_2020 RNA, complete genome	2020-06-16
Japan13/2020	ncov	?	LC553257	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29885	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC553257	Severe acute respiratory syndrome coronavirus 2 TKY9588_2020 RNA, nearly complete genome	2020-06-06
Japan14/2020	ncov	?	LC553258	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29888	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC553258	Severe acute respiratory syndrome coronavirus 2 TKY9810_2020 RNA, nearly complete genome	2020-06-06
Japan15/2020	ncov	?	LC553259	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29879	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC553259	Severe acute respiratory syndrome coronavirus 2 TKY10256_2020 RNA, nearly complete genome	2020-06-06
Japan16/2020	ncov	?	LC553260	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29886	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC553260	Severe acute respiratory syndrome coronavirus 2 TKY10459_2020 RNA, nearly complete genome	2020-06-06
Japan17/2020	ncov	?	LC553261	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29885	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC553261	Severe acute respiratory syndrome coronavirus 2 TKY10461_2020 RNA, nearly complete genome	2020-06-06
Japan18/2020	ncov	?	LC553262	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29883	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC553262	Severe acute respiratory syndrome coronavirus 2 TKY10466_2020 RNA, nearly complete genome	2020-06-06
Japan19/2020	ncov	?	LC553263	2020-04-XX	Asia	Japan			Asia	Japan	Japan	genome	29885	Homo sapiens	?	?	?	?	Asakura H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC553263	Severe acute respiratory syndrome coronavirus 2 TKY10468_2020 RNA, nearly complete genome	2020-06-06
Japan20/2020	ncov	?	LC546038	2020-03-23	Asia	Japan			Asia	Japan	Japan	genome	29876	Homo sapiens	?	?	?	?	Hishiki T. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC546038	Severe acute respiratory syndrome coronavirus 2 SARS-CoV-2/Hu/Kng/19-865 RNA, complete genome	2020-05-15
Japan21/2020	ncov	?	LC542976	2020-02-XX	Asia	Japan			Asia	Japan	Japan	genome	29903	Homo sapiens	?	?	?	?	Kumagai R. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC542976	Severe acute respiratory syndrome coronavirus 2 TKYE6968_2020 RNA, complete genome	2020-04-22
Japan22/2020	ncov	?	LC542809	2020-03-XX	Asia	Japan			Asia	Japan	Japan	genome	29903	Homo sapiens	?	?	?	?	Kumagai R. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC542809	Severe acute respiratory syndrome coronavirus 2 TKYE6947_2020 RNA, complete genome	2020-04-21
Japan23/2020	ncov	?	LC534418	2020-02-14	Asia	Japan			Asia	Japan	Japan	genome	29878	Homo sapiens	?	?	?	?	Hishiki T. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC534418	Severe acute respiratory syndrome coronavirus 2 SARS-CoV-2/Hu/DP/Kng/19-031 RNA, complete genome	2020-03-28
Japan24/2020	ncov	?	LC534419	2020-03-09	Asia	Japan			Asia	Japan	Japan	genome	29874	Homo sapiens	?	?	?	?	Hishiki T. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC534419	Severe acute respiratory syndrome coronavirus 2 SARS-CoV-2/Hu/Kng/19-437 RNA, complete genome	2020-03-28
Japan25/2020	ncov	?	LC529905	2020-01-XX	Asia	Japan			Asia	Japan	Japan	genome	29903	Homo sapiens	?	?	?	?	Kumagai R. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC529905	Severe acute respiratory syndrome coronavirus 2 TKYE6182_2020 RNA, complete genome	2020-03-07
Japan26/2020	ncov	?	LC547519	2020-03-10	Asia	Japan	Chiba		Asia	Japan	Chiba	genome	29739	Homo sapiens	?	?	?	?	Sekizuka T. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC547519	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/P2-1/2020 RNA, complete genome	2020-05-16
Japan27/2020	ncov	?	LC547520	2020-03-10	Asia	Japan	Chiba		Asia	Japan	Chiba	genome	29782	Homo sapiens	?	?	?	?	Sekizuka T. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC547520	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/P2-2/2020 RNA, complete genome	2020-05-16
Japan28/2020	ncov	?	LC547531	2020-03-12	Asia	Japan	Chiba		Asia	Japan	Chiba	genome	29766	Homo sapiens	?	?	?	?	Sekizuka T. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC547531	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/P5-1/2020 RNA, complete genome	2020-05-16
Japan29/2020	ncov	?	LC547532	2020-03-13	Asia	Japan	Chiba		Asia	Japan	Chiba	genome	29738	Homo sapiens	?	?	?	?	Sekizuka T. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC547532	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/P5-2/2020 RNA, complete genome	2020-05-16
Japan30/2020	ncov	?	LC547533	2020-03-13	Asia	Japan	Chiba		Asia	Japan	Chiba	genome	29832	Homo sapiens	?	?	?	?	Sekizuka T. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LC547533	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/P5-3/2020 RNA, complete genome	2020-05-16
